district,46,5
facility_type,63,5
department,29,37
department,30,44
department,31,45
department,32,46
department,34,47
facility_type,64,6
facility_type,65,6
facility_type,66,6
facility_type,67,11
facility_type,68,6
facility_type,69,11
facility_type,70,6
facility_type,71,6
facility_type,72,6
facility_type,73,11
facility_type,74,11
qualification_type,20,21
qualification_type,21,22
qualification_type,22,8
language,33,39
language,34,40
language,35,41
language,36,42
language,37,43
facility,5617,5617
facility,5620,5624
facility,5622,5624
facility,5612,5627
facility,5611,5628
facility,5616,5630
facility,5606,5637
facility,5621,5638
facility,5614,5654
facility,5610,5655
facility,5607,5659
facility,5618,5659
facility,5623,5662
facility,5615,5673
facility,5613,5678
facility,5608,5680
facility,5619,5680
job,9261,replace_9261
job,9272,replace_9272
job,9257,replace_9252
job,9269,replace_9269
job,9271,replace_9271
job,9254,replace_9254
job,9270,9237
job,9274,replace_9274
job,9249,replace_9249
job,9252,replace_9250
job,9251,9189
job,9250,replace_29250
job,9277,replace_9277
job,9263,replace_9263
job,9256,replace_9256
job,9275,replace_9275
job,9279,replace_9279
job,9253,replace_19253
job,9248,replace_9248
job,9264,replace_9264
job,9255,replace_19255
job,9243,replace_9243
job,9278,replace_9278
job,9267,replace_9267
job,9268,replace_9268
